state,order,rate
Alabama,1,32.2
Alaska,2,24.5
Arizona,3,24.3
Arkansas,4,30.1
California,5,24.0
Colorado,6,21.0
Connecticut,7,22.5
Delaware,8,28.0
District of Columbia,9,22.2
Florida,10,26.6
Georgia,11,29.6
Hawaii,12,22.7
Idaho,13,26.5
Illinois,14,28.2
Indiana,15,29.6
Iowa,16,28.4
Kansas,17,29.4
Kentucky,18,31.3
Louisiana,19,31.0
Maine,20,26.8
Maryland,21,27.1
Massachusetts,22,23.0
Michigan,23,30.9
Minnesota,24,24.8
Mississippi,25,34.0
Missouri,26,30.5
Montana,27,23.0
Nebraska,28,26.0
Nevada,29,22.4
New Hampshire,30,25.0
New Jersey,31,23.8
New Mexico,32,25.1
New York,33,23.9
North Carolina,34,27.8
North Dakota,35,27.2
Ohio,36,29.2
Oklahoma,37,30.4
Oregon,38,26.8
Pennsylvania,39,28.6
Rhode Island,40,25.5
South Carolina,41,31.5
South Dakota,42,27.3
Tennessee,43,30.8
Texas,44,31.0
Utah,45,22.5
Vermont,46,23.2
Virginia,47,26.0
Washington,48,25.5
West Virginia,49,32.5
Wisconsin,50,26.3
Wyoming,51,25.1